station_id,station_name,date,observed_high_f
KSAT,San Antonio International,2026-02-24,75
KSAT,San Antonio International,2026-02-25,87
KSAT,San Antonio International,2026-02-26,95
KSAT,San Antonio International,2026-02-27,86
KSAT,San Antonio International,2026-02-28,85
KSAT,San Antonio International,2026-03-01,86
KSAT,San Antonio International,2026-03-02,86
KSAT,San Antonio International,2026-03-03,87
KSAT,San Antonio International,2026-03-04,88
KSAT,San Antonio International,2026-03-05,87
KSAT,San Antonio International,2026-03-06,86
KSAT,San Antonio International,2026-03-07,79
KSAT,San Antonio International,2026-03-08,63
KSAT,San Antonio International,2026-03-09,78
KSAT,San Antonio International,2026-03-10,84
KSAT,San Antonio International,2026-03-11,85
KSAT,San Antonio International,2026-03-12,70
KSAT,San Antonio International,2026-03-13,81
KSAT,San Antonio International,2026-03-14,88
KSAT,San Antonio International,2026-03-15,98
KSAT,San Antonio International,2026-03-16,59
KSAT,San Antonio International,2026-03-17,66
KSAT,San Antonio International,2026-03-18,78
KSAT,San Antonio International,2026-03-19,84
KSAT,San Antonio International,2026-03-20,90
KSAT,San Antonio International,2026-03-21,93
KSAT,San Antonio International,2026-03-22,92
KSAT,San Antonio International,2026-03-23,86
KSAT,San Antonio International,2026-03-24,88
KSAT,San Antonio International,2026-03-25,90
KSAT,San Antonio International,2026-03-26,89
KSAT,San Antonio International,2026-03-27,89
KSAT,San Antonio International,2026-03-28,73
KSAT,San Antonio International,2026-03-29,84
KSAT,San Antonio International,2026-03-30,89
KSAT,San Antonio International,2026-03-31,89
KSAT,San Antonio International,2026-04-01,91
KSAT,San Antonio International,2026-04-02,87
KSAT,San Antonio International,2026-04-03,85
KSAT,San Antonio International,2026-04-04,79
KSAT,San Antonio International,2026-04-05,66
KSAT,San Antonio International,2026-04-06,75
KSAT,San Antonio International,2026-04-07,78
KSAT,San Antonio International,2026-04-08,81
KSAT,San Antonio International,2026-04-09,82
KSAT,San Antonio International,2026-04-10,82
KSAT,San Antonio International,2026-04-11,84
KSAT,San Antonio International,2026-04-12,80
KSAT,San Antonio International,2026-04-13,90
KSAT,San Antonio International,2026-04-14,88
KSAT,San Antonio International,2026-04-15,86
KSAT,San Antonio International,2026-04-16,88
KSAT,San Antonio International,2026-04-17,91
KSAT,San Antonio International,2026-04-18,74
KSAT,San Antonio International,2026-04-19,65
KSAT,San Antonio International,2026-04-20,60
KSAT,San Antonio International,2026-04-21,66
KSAT,San Antonio International,2026-04-22,85
KSAT,San Antonio International,2026-04-23,82
KSAT,San Antonio International,2026-04-24,89
KSAT,San Antonio International,2026-04-25,88
KSAT,San Antonio International,2026-04-26,88
KSAT,San Antonio International,2026-04-27,89
KSAT,San Antonio International,2026-04-28,92
KSAT,San Antonio International,2026-04-29,84
KSAT,San Antonio International,2026-04-30,77
